cluster_name,classification_label,num_distinct_enzyme_classes,num_distinct_enzyme_subfamilies,total_ec_numbers,enzyme_classes,enzyme_subfamilies,all_ec_numbers,e2p2_file
MGC_CANDIDATE_1490,1,1,1,3,1,1.1,1.1.1.334;1.1.1.334;1.1.1.334,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1490/MGC_CANDIDATE_1490.MaxWeightAbsoluteThreshold.default.pf
BGC0001318,1,4,5,13,1;2;3;4,1.14;2.4;2.7;3.7;4.1,4.1.2.47;4.1.2.47;4.1.2.47;1.14.14.41;1.14.14.41;2.4.1.91;2.4.1.63;3.7.1.9;3.7.1.9;2.7.11.1;1.14.14.38;1.14.14.39;3.7.1.9,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0001318/BGC0001318.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1614,1,1,1,3,1,1.14,1.14.17.4;1.14.17.4;1.14.17.4,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1614/MGC_CANDIDATE_1614.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1431,1,2,2,3,2;4,2.7;4.2,4.2.1.11;2.7.1.40;2.7.1.40,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1431/MGC_CANDIDATE_1431.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1613,1,1,1,6,1,1.1,1.1.1.194;1.1.1.195;1.1.1.194;1.1.1.195;1.1.1.194;1.1.1.195,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1613/MGC_CANDIDATE_1613.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1477,1,1,2,4,4,4.1;4.2,4.1.2.8;4.2.1.20;4.1.2.8;4.1.2.8,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1477/MGC_CANDIDATE_1477.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1556,1,1,1,3,3,3.2,3.2.1.15;3.2.1.15;3.2.1.15,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1556/MGC_CANDIDATE_1556.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1607,1,2,3,5,1;5,1.1;1.14;5.4,1.14.14.63;1.14.14.63;1.1.1.418;5.4.99.8;5.4.99.33,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1607/MGC_CANDIDATE_1607.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1616,1,1,1,4,2,2.3,2.3.1.199;2.3.1.199;2.3.1.199;2.3.1.199,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1616/MGC_CANDIDATE_1616.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1606,1,1,1,5,1,1.3,1.3.1.42;1.3.1.42;1.3.1.92;1.3.1.42;1.3.1.92,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1606/MGC_CANDIDATE_1606.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1480,1,0,0,0,,,,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1480/MGC_CANDIDATE_1480.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1598,1,1,1,4,5,5.1,5.1.3.3;5.1.3.3;5.1.3.3;5.1.3.3,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1598/MGC_CANDIDATE_1598.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1499,1,1,1,10,1,1.1,1.1.1.21;1.1.1.54;1.1.1.210;1.1.1.21;1.1.1.54;1.1.1.210;1.1.1.2;1.1.1.21;1.1.1.54;1.1.1.210,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1499/MGC_CANDIDATE_1499.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1517,1,2,2,3,1;5,1.14;5.4,5.4.99.39;1.14.14.126;1.14.14.126,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1517/MGC_CANDIDATE_1517.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1524,1,1,1,5,1,1.1,1.1.1.218;1.1.1.247;1.1.1.285;1.1.1.218;1.1.1.247,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1524/MGC_CANDIDATE_1524.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1572,1,1,1,3,4,4.1,4.1.1.39;4.1.1.39;4.1.1.39,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1572/MGC_CANDIDATE_1572.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1584,1,1,1,3,5,5.1,5.1.3.3;5.1.3.3;5.1.3.3,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1584/MGC_CANDIDATE_1584.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1526,1,1,1,4,3,3.1,3.1.1.11;3.1.1.11;3.1.1.11;3.1.1.11,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1526/MGC_CANDIDATE_1526.MaxWeightAbsoluteThreshold.default.pf
BGC0002392,1,2,2,5,1;4,1.14;4.2,1.14.14.69;4.2.3.173;1.14.14.1;1.14.14.69;1.14.14.69,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0002392/BGC0002392.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1463,1,1,1,7,2,2.3,2.3.1.119;2.3.1.199;2.3.1.199;2.3.1.119;2.3.1.199;2.3.1.119;2.3.1.199,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1463/MGC_CANDIDATE_1463.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1597,1,1,1,5,1,1.1,1.1.1.237;1.1.1.79;1.1.1.81;1.1.1.237;1.1.1.81,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1597/MGC_CANDIDATE_1597.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1615,1,1,1,3,2,2.3,2.3.1.99;2.3.1.99;2.3.1.99,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1615/MGC_CANDIDATE_1615.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1610,1,1,1,3,3,3.2,3.2.1.15;3.2.1.15;3.2.1.15,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1610/MGC_CANDIDATE_1610.MaxWeightAbsoluteThreshold.default.pf
BGC0002622,1,2,2,3,2;4,2.3;4.1,4.1.1.17;2.3.1.138;2.3.1.138,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0002622/BGC0002622.MaxWeightAbsoluteThreshold.default.pf
BGC0002389,1,2,2,18,4;5,4.2;5.5,4.2.3.15;4.2.3.16;4.2.3.25;4.2.3.113;4.2.3.55;5.5.1.17;4.2.3.15;4.2.3.16;4.2.3.25;4.2.3.113;4.2.3.55;5.5.1.17;4.2.3.15;4.2.3.16;4.2.3.25;4.2.3.113;4.2.3.55;5.5.1.17,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0002389/BGC0002389.MaxWeightAbsoluteThreshold.default.pf
BGC0002390,1,3,4,8,1;2;3,1.11;1.14;2.4;3.6,1.14.14.159;1.14.14.160;1.14.14.159;1.14.14.160;3.6.4.6;1.11.1.7;2.4.1.177;1.14.14.159,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0002390/BGC0002390.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1483,1,1,1,2,1,1.1,1.1.1.285;1.1.1.285,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1483/MGC_CANDIDATE_1483.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1503,1,1,1,3,5,5.1,5.1.3.3;5.1.3.3;5.1.3.3,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1503/MGC_CANDIDATE_1503.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1468,1,1,1,4,4,4.1,4.1.1.28;4.1.1.28;4.1.1.28;4.1.1.28,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1468/MGC_CANDIDATE_1468.MaxWeightAbsoluteThreshold.default.pf
BGC0001756,1,2,2,23,2;4,2.5;4.2,4.2.3.47;4.2.3.123;4.2.3.55;4.2.3.65;4.2.3.69;4.2.3.78;4.2.3.79;4.2.3.95;2.5.1.1;2.5.1.10;2.5.1.29;2.5.1.81;4.2.3.167;2.5.1.1;2.5.1.10;2.5.1.29;2.5.1.81;4.2.3.167;4.2.3.167;2.5.1.1;2.5.1.10;2.5.1.29;2.5.1.81,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0001756/BGC0001756.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1427,1,1,1,5,2,2.3,2.3.1.133;2.3.1.99;2.3.1.99;2.3.1.99;2.3.1.99,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1427/MGC_CANDIDATE_1427.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1612,1,1,1,6,2,2.3,2.3.1.133;2.3.1.87;2.3.1.87;2.3.1.99;2.3.1.133;2.3.1.133,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1612/MGC_CANDIDATE_1612.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1429,1,1,1,3,5,5.4,5.4.99.8;5.4.99.8;5.4.99.8,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1429/MGC_CANDIDATE_1429.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1515,1,1,1,3,1,1.1,1.1.1.330;1.1.1.330;1.1.1.330,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1515/MGC_CANDIDATE_1515.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1603,1,1,1,4,5,5.1,5.1.3.3;5.1.3.3;5.1.3.3;5.1.3.3,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1603/MGC_CANDIDATE_1603.MaxWeightAbsoluteThreshold.default.pf
BGC0002405,1,3,3,3,2;3;6,2.7;3.1;6.2,3.1.2.4;6.2.1.44;2.7.7.49,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0002405/BGC0002405.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1566,1,1,1,6,3,3.2,3.2.1.15;3.2.1.15;3.2.1.15;3.2.1.67;3.2.1.15;3.2.1.15,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1566/MGC_CANDIDATE_1566.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1565,1,1,1,3,3,3.2,3.2.1.15;3.2.1.67;3.2.1.67,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1565/MGC_CANDIDATE_1565.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1502,1,1,1,6,1,1.1,1.1.1.237;1.1.1.79;1.1.1.81;1.1.1.237;1.1.1.79;1.1.1.81,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1502/MGC_CANDIDATE_1502.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1473,1,1,1,5,5,5.1,5.1.3.3;5.1.3.3;5.1.3.3;5.1.3.3;5.1.3.3,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1473/MGC_CANDIDATE_1473.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1552,1,1,1,3,1,1.2,1.2.1.3;1.2.1.3;1.2.1.3,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1552/MGC_CANDIDATE_1552.MaxWeightAbsoluteThreshold.default.pf
BGC0002406,1,4,6,12,1;2;4;5,1.14;1.4;2.3;2.7;4.1;5.1,1.4.3.5;5.1.99.6;1.4.3.5;5.1.99.6;1.4.3.5;5.1.99.6;1.14.14.107;1.14.14.107;2.7.1.227;2.3.1.138;2.3.1.138;4.1.1.25,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0002406/BGC0002406.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1548,1,1,1,8,2,2.1,2.1.1.154;2.1.1.338;2.1.1.339;2.1.1.129;2.1.1.154;2.1.1.338;2.1.1.339;2.1.1.267,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1548/MGC_CANDIDATE_1548.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1546,1,1,1,9,1,1.1,1.1.1.237;1.1.1.79;1.1.1.81;1.1.1.237;1.1.1.79;1.1.1.81;1.1.1.237;1.1.1.79;1.1.1.81,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1546/MGC_CANDIDATE_1546.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1532,1,1,1,3,3,3.1,3.1.1.11;3.1.1.11;3.1.1.11,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1532/MGC_CANDIDATE_1532.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1596,1,1,1,6,2,2.1,2.1.1.111;2.1.1.4;2.1.1.111;2.1.1.4;2.1.1.111;2.1.1.4,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1596/MGC_CANDIDATE_1596.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1541,1,1,1,3,1,1.14,1.14.17.4;1.14.17.4;1.14.17.4,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1541/MGC_CANDIDATE_1541.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1602,1,1,1,4,5,5.1,5.1.3.3;5.1.3.3;5.1.3.3;5.1.3.3,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1602/MGC_CANDIDATE_1602.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1450,1,1,1,3,3,3.1,3.1.1.11;3.1.1.11;3.1.1.11,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1450/MGC_CANDIDATE_1450.MaxWeightAbsoluteThreshold.default.pf
BGC0002394,1,2,2,10,1;4,1.14;4.2,1.14.14.105;1.14.99.37;1.14.14.176;1.14.99.37;1.14.14.176;4.2.3.17;4.2.3.17;1.14.14.1;1.14.99.37;1.14.14.176,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0002394/BGC0002394.MaxWeightAbsoluteThreshold.default.pf
BGC0002397,1,2,2,4,2;4,2.5;4.2,4.2.3.195;2.5.1.1;2.5.1.10;2.5.1.29,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0002397/BGC0002397.MaxWeightAbsoluteThreshold.default.pf
BGC0002721,1,2,2,5,1;2,1.14;2.4,2.4.1.324;1.14.14.37;1.14.14.109;1.14.14.153;1.14.14.36,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0002721/BGC0002721.MaxWeightAbsoluteThreshold.default.pf
BGC0001315,1,1,1,3,1,1.14,1.14.14.88;1.14.14.88;1.14.14.171,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0001315/BGC0001315.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1459,1,1,1,4,1,1.1,1.1.1.195;1.1.1.195;1.1.1.195;1.1.1.195,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1459/MGC_CANDIDATE_1459.MaxWeightAbsoluteThreshold.default.pf
BGC0002404,1,2,3,5,1;4,1.1;1.14;4.1,1.1.1.69;4.1.99.5;1.14.19.22;1.14.19.22;1.14.19.34,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/BGC0002404/BGC0002404.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1568,1,1,1,3,1,1.1,1.1.1.85;1.1.1.85;1.1.1.85,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1568/MGC_CANDIDATE_1568.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1609,1,2,3,6,1;5,1.1;1.14;5.4,1.1.1.170;1.1.1.418;1.14.14.63;5.4.99.8;5.4.99.33;1.14.14.63,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1609/MGC_CANDIDATE_1609.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1544,1,1,1,4,1,1.1,1.1.1.24;1.1.1.25;1.1.1.25;1.1.1.25,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1544/MGC_CANDIDATE_1544.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_1564,1,1,1,5,3,3.2,3.2.1.15;3.2.1.15;3.2.1.67;3.2.1.15;3.2.1.15,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_1564/MGC_CANDIDATE_1564.MaxWeightAbsoluteThreshold.default.pf
